state,city,site,site_name,params,params_query,params_ids,data_availability
Karnataka,Bagalkot,site_5264,"Vidayagiri, Bagalkot - KSPCB",,,,
Karnataka,Bangalore,site_1553,"Bapuji Nagar, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_162,"BTM Layout, Bengaluru - CPCB",,,,
Karnataka,Bangalore,site_164,"BWSSB Kadabesanahalli, Bengaluru - CPCB",,,,
Karnataka,Bangalore,site_165,"City Railway Station, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_1554,"Hebbal, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_1555,"Hombegowda Nagar, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_1556,"Jayanagar 5th Block, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_5729,"Jigani, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_5681,"Kasturi Nagar, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_163,"Peenya, Bengaluru - CPCB",,,,
Karnataka,Bangalore,site_5678,"RVCE-Mailasandra, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_166,"Sanegurava Halli, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_5686,"Shivapura_Peenya, Bengaluru - KSPCB",,,,
Karnataka,Bangalore,site_1558,"Silk Board, Bengaluru - KSPCB",,,,
Karnataka,Belgaum,site_5432,"Ramteerth Nagar, Belgaum - KSPCB",,,,
Karnataka,Bidar,site_5418,"Naubad, Bidar - KSPCB",,,,
Karnataka,Chamarajanagar,site_5124,"Urban, Chamarajanagar - KSPCB",,,,
Karnataka,Chikkaballarpur,site_1557,"Chikkaballapur Rural, Chikkaballapur - KSPCB",,,,
Karnataka,Chikkamagaluru,site_5265,"Kalyana Nagara, Chikkamagaluru - KSPCB",,,,
Karnataka,Davanagere,site_5422,"Devaraj Urs Badavane, Davanagere - KSPCB",,,,
Karnataka,Dharwad,site_5638,"Kalabhavan, Dharwad - KSPCB",,,,
Karnataka,Gadag,site_5419,"Panchal Nagar, Gadag - KSPCB",,,,
Karnataka,Hassan,site_5448,"B.Katihalli, Hassan - KSPCB",,,,
Karnataka,Haveri,site_5420,"Ashwini Nagar, Haveri - KSPCB",,,,
Karnataka,Hubballi,site_1447,"Deshpande Nagar, Hubballi - KSPCB",,,,
Karnataka,Hubballi,site_5680,"Lingaraj Nagar, Hubballi - KSPCB",,,,
Karnataka,Kalaburagi,site_1565,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",,,,
Karnataka,Kalaburagi,site_5679,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",,,,
Karnataka,Kolar,site_1551,"Tamaka Ind. Area, Kolar - KSPCB",,,,
Karnataka,Koppal,site_5415,"Diwator Nagar, Koppal - KSPCB",,,,
Karnataka,Madikeri,site_5391,"Stuart Hill, Madikeri - KSPCB",,,,
Karnataka,Manglore,site_5421,"Kadri, Mangalore - KSPCB",,,,
Karnataka,Mysuru,site_5125,"Hebbal 1st Stage, Mysuru - KSPCB",,,,
Karnataka,Raichur,site_5414,"Haji Colony, Raichur - KSPCB",,,,
Karnataka,Ramanagara,site_5255,"Vijay Nagar, Ramanagara - KSPCB",,,,
Karnataka,Shivamogga,site_5266,"Vinoba Nagara, Shivamogga - KSPCB",,,,
Karnataka,Tumakuru,site_5682,"Thimmalapura, Tumakuru - KSPCB",,,,
Karnataka,Udupi,site_5433,"Brahmagiri, Udupi - KSPCB",,,,
Karnataka,Vijayapura,site_5267,"Ibrahimpur, Vijayapura - KSPCB",,,,
Karnataka,Yadgir,site_5254,"Collector Office, Yadgir - KSPCB",,,,
